,City,Country,Max Temp,Lat,Lng,Hotel Name
280,Bandarbeyla,SO,72.32,9.49,50.81,JABIR HOTEL
281,General Roca,AR,62.6,-39.03,-67.58,Hotel y Casino del Río General Roca
282,Tautira,PF,84.2,-17.73,-149.15,Pension Oaoa
283,Grants,US,28.4,35.15,-107.85,"Motel 6 Grants, NM"
284,Sovetskiy,RU,11.68,61.36,63.58,Apartment on Kievskaya 29
285,Mairi,BR,64.13,-11.71,-40.15,Pousada Monte Alegre
286,Nhulunbuy,AU,86.0,-12.23,136.77,East Arnhem Real Estate
287,Pangai,TO,78.94,-19.8,-174.35,Ha'apai Beach Resort
288,Paranhos,BR,66.43,-23.89,-55.43,Hotel Saron
289,Ustyuzhna,RU,23.27,58.84,36.43,V Gostyah U Svetlany
290,Chicama,PE,68.13,-7.84,-79.15,Hospedaje Punta Cana PERU
291,Muli,MV,83.07,2.92,73.57,Medhufushi Island Resort
292,Barranca,PE,67.28,-10.75,-77.77,El Olivar Hospedaje
293,Ponta Delgada,PT,60.8,37.73,-25.67,Vila Nova Hotel
294,Inhambane,MZ,69.8,-23.86,35.38,Oceano
295,Ogaminana,NG,73.29,7.59,6.22,Mashida Guest House
296,Kindu,CD,66.49,-2.95,25.95,Résidence Okanda
297,Stykkisholmur,IS,36.07,65.08,-22.73,Fosshotel Stykkishólmur
298,Sao Filipe,CV,73.63,14.9,-24.5,Tortuga B&B
299,Rosetta,EG,60.8,31.4,30.42,Green Valley
300,Shaunavon,CA,8.6,49.65,-108.42,Bear's Den Lodge
301,Gigmoto,PH,83.66,13.78,124.39,Cj's Travellers Inn
302,Bardiyah,LY,58.87,31.76,25.09,بورتو بردية
304,Jalu,LY,52.45,29.03,21.55,صاحبة الفخامة
305,Camacha,PT,59.0,33.08,-16.33,Hotel Porto Santo & Spa
306,Pisco,PE,66.2,-13.7,-76.22,Hotel San Isidro Oficial
307,Helena,US,32.0,46.59,-112.04,Holiday Inn Express & Suites Helena
308,Lincoln,US,19.4,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
310,Rocha,UY,62.82,-34.48,-54.33,Beleza Pura B&B
311,Saldanha,ZA,59.0,-33.01,17.94,Blue Bay Lodge
312,Kattivakkam,IN,78.8,13.22,80.32,St. Joseph Thirumana mandapam
313,Bonaventure,CA,23.0,48.05,-65.49,Riôtel Bonaventure (N° établissement : 1271)
314,Broome,US,30.99,42.25,-75.83,Chenango Valley State Park
316,San Jose,US,50.0,37.34,-121.89,The Westin San Jose
